chercheur	rôle	établissement
Igloliorte, Heather	Cocandidat	Université Concordia
Ireland, Scott	Collaborateur	Bruker Biospin Corporation
Irish, Jonathan	Collaborateur	University of Toronto and Ontario Health (Cancer Care Ontario)
Irvin, Emma	Cocandidat	Institute for Work and Health
Itami, Ken	Collaborateur	ITbM-WPI, Nagoya University
Jacobs-LeVan, Julia	Cocandidat	University of Calgary
Jaeckel, Elmar	Cocandidat	University of Toronto
Janion-Scheepers, Charlene	Cocandidat	University of Cape Town
Janzen, Daniel	Cochercheur principal	University of Pennsylvania
Jerbi, Karim	Cocandidat	Université de Montréal
Jetha, Arif	Cocandidat	Institute for Work and Health
jojo, Bipin	Cocandidat	Tata Institute of Social Sciences
Jones, Carwyn	Cocandidat	Te Herenga Waka - Victoria University of Wellington
Joseph, Collinda	Collaborateur	Gouvernement du Canada
Joseph, Serena	Collaborateur	Waasegiizhig Nanaandawe'iyewigamig Health Access Centre (Region 16)
Kari, Lila	Cocandidat	University of Waterloo
Juvet, Stephen	Cochercheur principal	University Health Network
Karoubi, Golnaz	Cocandidat	University of Toronto
Kautmanova, Ivona	Cocandidat	Slovak National Museum-Natural History Museum
Kealoha, Donavan	Collaborateur	Purple Mai'a
Keller, Gordon	Cochercheur principal	University Health Network
Keshavjee, Shaf	Chercheur principal désigné	University Health Network
Keskin, Emre	Cocandidat	Ankara University
Khan, Ali	Cochercheur principal	Western University
Kim, Joseph	Collaborateur	Société canadienne de transplantation
Kimmelman, Jonathan	Cochercheur principal	Université McGill
Kirby, Peter	Collaborateur	Taku River Tlingit
Kirmayer, Laurence	Collaborateur	Université McGill
Kledal, Thomas	Collaborateur	Synklino
Kleinstiver, Benjamin	Cocandidat	Massachusetts General Hospital
Ko, Frank	Cocandidat	The University of British Columbia
Koester, Ulli	Collaborateur	Institut Laue-Langevin (ILL)
Kolopenuk, Jessica	Collaborateur	University of Alberta
Kondo, Takeo	Cocandidat	The University of Tokyo
Koritzinsky, Marianne	Cocandidat	University Health Network
Kristman, Vicki	Cocandidat	Lakehead University
Korlach, Jonas	Collaborateur	Pacific Biosciences
Kuhnlein, Harriet	Collaborateur	McGill
Kumar, Deepali	Cochercheur principal	University of Toronto
Kurrasch, Deborah	Cochercheur principal	University of Calgary
Kutz, Susan	Cocandidat	University of Calgary
Kuwada, Bryan	Cocandidat	University of Hawai?i-Manoa
Kwon, Brian	Cochercheur principal	The University of British Columbia
Laberge, Marie	Cocandidat	axe Maladies musculosquelettiques et réadaptation - Centre hospitalier Universitaire Sainte-Justine
Lacasse, Robert	Collaborateur	Hydro-Quebec
Lacroix, Colette	Collaborateur	IBM
Ladner, Kiera	Cocandidat	University of Manitoba
Lafferty, George	Collaborateur	Tlicho Government/Government of Canada (Region 5)
Laflamme, Michael	Chercheur principal désigné	University Health Network
Lam, Jen	Collaborateur	Inuvialuit Game Council (Region 1)
Lantz, Trevor	Cocandidat	University of Victoria
Laule, Cornelia	Cocandidat	The University of British Columbia
Lawniczak, Mara	Cochercheur principal	Wellcome Sanger Institute
Layton, Kara	Cocandidat	University of Aberdeen
LeClair, Kerry	Collaborateur	City of Hamilton
Leclerc, Yves	Collaborateur	McCain Foods Ltd
Lee, Sharon	Collaborateur	Canadian Pulmonary Fibrosis Foundation
Leese, Florian	Cochercheur principal	Universität Duisburg-Essen
Leigh, Jason	Cocandidat	University of Hawaii at Manoa
Lepine, Melody	Collaborateur	Mikisew Cree First Nation (Region 11)
Leong, Hon	Cocandidat	Sunnybrook Research Institute
Levan, Pierre	Collaborateur	University of Calgary
Levesque, Maroussia	Collaborateur	Harvard University
Levasseur, Annie	Cocandidat	École de Technologie Supérieure
